listing_id,source,source_listing_id,city,neighborhood,region,latitude,longitude,surface_m2,bedrooms,bathrooms,furnished_status,parking,balcony,sea_view,price_mad,price_per_m2,property_type,transaction_type,publication_date,publication_date_status,scraped_at,url,validation_status,validation_reasons,deduplication_status,duplicate_of,title_raw,price_raw,location_raw,details_raw,source_record_path
mubawab.ma:native:8298407,mubawab.ma,8298407,Marrakech,Camp Al Ghoul,Marrakech-Safi,,,398.0,4.0,4.0,unknown,unknown,unknown,unknown,4900000.0,12311.56,,sale,,unknown,2026-09-01T17:30:14.929252+00:00,https://www.mubawab.ma/fr/a/8298407/lot-4-studios-avec-jardins-priv%C3%A9s-cl%C3%A9-en-main,rejected,unknown_property_type,unique,,Lot 4 studios avec jardins privés clé en main,4900000.0 MAD,Camp Al Ghoul à Marrakech,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
mubawab.ma:native:8330404,mubawab.ma,8330404,Rabat,Riyad,Rabat-Salé-Kenitra,,,257.0,3.0,3.0,unknown,yes,unknown,unknown,4950000.0,19260.7,,sale,,unknown,2026-09-01T17:35:54.221993+00:00,https://www.mubawab.ma/fr/a/8330404/vente-appartement-duplex-%C3%A0-rabat-hay-riad,rejected,unknown_property_type,unique,,Vente appartement Duplex à Rabat Hay Riad,4950000.0 MAD,Riyad à Rabat,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
mubawab.ma:native:8331724,mubawab.ma,8331724,Rabat,Riyad,Rabat-Salé-Kenitra,,,257.0,3.0,3.0,unknown,unknown,unknown,unknown,4950000.0,19260.7,,sale,,unknown,2026-09-01T17:35:52.622735+00:00,https://www.mubawab.ma/fr/a/8331724/duplex-%C3%A0-vendre-%C3%A0-hay-riad,rejected,unknown_property_type,unique,,Duplex à vendre à Hay Riad,4950000.0 MAD,Riyad à Rabat,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
mubawab.ma:native:8337214,mubawab.ma,8337214,Tanger,Centre,Tangier-Tetouan-Al Hoceima,,,135.0,3.0,2.0,unknown,unknown,unknown,unknown,360000000.0,2666666.67,appartement,sale,,unknown,2026-09-01T17:30:31.453093+00:00,https://www.mubawab.ma/fr/a/8337214/appartement-haut-standing-%C3%A0-vendre,rejected,price_per_m2_outlier,unique,,Appartement haut standing à vendre,360000000.0 MAD,Centre à Tanger,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
mubawab.ma:native:8338102,mubawab.ma,8338102,Marrakech,Guéliz,Marrakech-Safi,,,38.0,1.0,1.0,unknown,yes,unknown,unknown,1550000.0,40789.47,,sale,,unknown,2026-09-01T17:32:20.896176+00:00,https://www.mubawab.ma/fr/a/8338102/rare-studio-38m2-coeur-de-gu%C3%A9liz-entre-carr%C3%A9-eden-et-plaza,rejected,unknown_property_type,unique,,Rare Studio 38m2 Coeur de Guéliz entre Carré Eden et Plaza,1550000.0 MAD,Guéliz à Marrakech,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
mubawab.ma:native:8351733,mubawab.ma,8351733,Tanger,Administratif,Tangier-Tetouan-Al Hoceima,,,89.0,2.0,2.0,unknown,yes,unknown,unknown,21500.0,241.57,appartement,sale,,unknown,2026-09-01T17:30:20.540903+00:00,https://www.mubawab.ma/fr/a/8351733/superbe-appartement-%C3%A0-vendre-%C3%A0-administratif-2-belles-chambres-double-vitrage-et-chauffage-central,rejected,implausible_price|price_per_m2_outlier,unique,,Superbe appartement à vendre à Administratif. 2 belles chambres. Double vitrage et chauffage central,21500.0 MAD,Administratif à Tanger,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
mubawab.ma:native:8368031,mubawab.ma,8368031,Tanger,Malabata,Tangier-Tetouan-Al Hoceima,,,93.0,2.0,2.0,unknown,unknown,unknown,unknown,24000.0,258.06,appartement,sale,,unknown,2026-09-01T17:30:36.123603+00:00,https://www.mubawab.ma/fr/a/8368031/appartements-haut-standing-%C3%A0-malabata-hills-93-m,rejected,implausible_price|price_per_m2_outlier,unique,,Appartements haut standing à Malabata Hills 93 m,24000.0 MAD,Malabata à Tanger,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
mubawab.ma:native:8379024,mubawab.ma,8379024,Tanger,Rmilat,Tangier-Tetouan-Al Hoceima,,,294.0,4.0,3.0,unknown,yes,unknown,unknown,95000000.0,323129.25,appartement,sale,,unknown,2026-09-01T17:31:18.932062+00:00,https://www.mubawab.ma/fr/a/8379024/appartement-d-exception-%C3%A0-vendre-%E2%80%93-rmilat-tanger,rejected,price_per_m2_outlier,unique,,"Appartement d'exception à vendre – Rmilat, Tanger",95000000.0 MAD,Rmilat à Tanger,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
mubawab.ma:native:8385324,mubawab.ma,8385324,Casablanca,Palmier,Casablanca-Settat,,,75.0,1.0,2.0,unknown,unknown,unknown,unknown,1270000.0,16933.33,,sale,,unknown,2026-09-01T17:33:58.141628+00:00,https://www.mubawab.ma/fr/a/8385324/studio-duplex-a-vendre-palmier-65-metres,rejected,unknown_property_type,unique,,Studio duplex a vendre palmier 65 metres,1270000.0 MAD,Palmier à Casablanca,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
mubawab.ma:native:8391272,mubawab.ma,8391272,Tanger,Malabata,Tangier-Tetouan-Al Hoceima,,,110.0,3.0,2.0,unknown,yes,unknown,yes,25000.0,227.27,appartement,sale,,unknown,2026-09-01T17:30:38.476011+00:00,https://www.mubawab.ma/fr/a/8391272/appartements-haut-standing-a-malabata-hills-110-m,rejected,implausible_price|price_per_m2_outlier,unique,,Appartements haut standing a MALABATA HILLS 110 m,25000.0 MAD,Malabata à Tanger,,data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv
