listing_id,source,source_listing_id,city,neighborhood,region,latitude,longitude,surface_m2,bedrooms,bathrooms,furnished_status,parking,balcony,sea_view,price_mad,price_per_m2,property_type,transaction_type,publication_date,publication_date_status,scraped_at,url,validation_status,validation_reasons,deduplication_status,duplicate_of,title_raw,price_raw,location_raw,details_raw,source_record_path,property_type_original,property_type_repaired,property_type_repair_evidence,neighborhood_original,neighborhood_clean,neighborhood_validation_status,neighborhood_rejection_reason,region_original,region_repair_status,bedrooms_original,bathrooms_original,batch_id,canonical_url_repaired,batch_anomaly_status,duplicate_status_repaired,duplicate_group_id,duplicate_match_level,duplicate_keep,price_per_m2_original,price_per_m2_recomputed,numeric_consistency_status,outlier_decision,outlier_reasons,repair_exclusion_reason,is_model_ready
mubawab.ma:content:f789e69f0f252aa6f2c1b5cb,mubawab.ma,,Marrakech,Route de Fez,Marrakech-Safi,,,55.0,1.0,1.0,unknown,unknown,unknown,unknown,663000.0,12054.55,appartement,sale,,unknown,2026-08-14T15:31:10+00:00,,valid,,unique,,Residence prestige roof top,663 000 DH,"Route de Fez, Marrakech",55 m² 2 Pièces 1 Ch. 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv,appartement,unknown,weak_or_ambiguous_evidence,Route de Fez,Route de Fez,valid,,Marrakech-Safi,unchanged,1.0,1.0,git_head_complete,,not_flagged,unique,,,True,12054.55,12054.55,consistent,not_flagged,,,True
mubawab.ma:content:762f8599e64f92fa8012ccaa,mubawab.ma,,Casablanca,Les Hôpitaux,Casablanca-Settat,,,129.0,4.0,2.0,unknown,unknown,unknown,unknown,1500000.0,11627.91,appartement,sale,,unknown,2026-08-14T15:31:10+00:00,,valid,,unique,,"Appartement à Vendre de 129.0 m² à Casablanca, Hopitaux",1 500 000 DH,"Les Hôpitaux, Casablanca",129 m² 6 Pièces 4 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv,appartement,appartement,explicit_appartement,Les Hôpitaux,Les Hôpitaux,valid,,Casablanca-Settat,unchanged,4.0,2.0,git_head_complete,,not_flagged,unique,,,True,11627.91,11627.91,consistent,not_flagged,,,True
mubawab.ma:native:8267229,mubawab.ma,8267229.0,Casablanca,Maârif,Casablanca-Settat,,,152.0,3.0,1.0,unknown,yes,yes,unknown,2200000.0,14473.68,appartement,sale,,unknown,2026-09-02T11:40:39+00:00,https://www.mubawab.ma/fr/a/8267229/superbe-appartement-%C3%A0-vendre-%C3%A0-ma%C3%A2rif-superficie-152-m%C2%B2-concierge-et-climatisation,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,appartement,appartement,explicit_appartement,Maârif,Maârif,valid,,Casablanca-Settat,unchanged,3.0,1.0,recovery_misplaced_notebook,https://www.mubawab.ma/fr/a/8267229/superbe-appartement-%C3%A0-vendre-%C3%A0-ma%C3%A2rif-superficie-152-m%C2%B2-concierge-et-climatisation,suspicious_high_price_per_m2_tail,possible_duplicate,possible-7a4889aa631d,C_exact_structured_fingerprint,True,14473.68,14473.68,consistent,not_flagged,,,True
mubawab.ma:content:3cbd741c9c7b8c1d8de47946,mubawab.ma,,Témara,Maghreb Arabi,Rabat-Salé-Kénitra,,,120.0,2.0,2.0,unknown,unknown,unknown,unknown,1380000.0,11500.0,appartement,sale,,unknown,2026-08-14T15:31:10+00:00,,valid,,unique,,"Appartement à vendre 120 m², 2 chambres Maghreb Al Arabi Skh...",1 380 000 DH,"Maghreb Arabi, Temara",120 m² 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv,appartement,appartement,explicit_appartement,Maghreb Arabi,Maghreb Arabi,valid,,Rabat-Salé-Kenitra,standardized_or_corrected,2.0,2.0,git_head_complete,,not_flagged,unique,,,True,11500.0,11500.0,consistent,not_flagged,,,True
mubawab.ma:content:55b06dbf73a7f7897383833e,mubawab.ma,,Casablanca,Val Fleury,Casablanca-Settat,,,79.0,2.0,2.0,unknown,unknown,unknown,unknown,1350000.0,17088.61,appartement,sale,,unknown,2026-08-14T15:31:10+00:00,,valid,,unique,,Idéal investissement locatif,1 350 000 DH,"Val Fleury, Casablanca",79 m² 3 Pièces 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv,appartement,unknown,weak_or_ambiguous_evidence,Val Fleury,Val Fleury,valid,,Casablanca-Settat,unchanged,2.0,2.0,git_head_complete,,not_flagged,unique,,,True,17088.61,17088.61,consistent,not_flagged,,,True
mubawab.ma:native:8386906,mubawab.ma,8386906.0,Casablanca,Triangle d'Or,Casablanca-Settat,,,207.0,3.0,3.0,unknown,yes,yes,unknown,5200000.0,25120.77,appartement,sale,,unknown,2026-09-02T06:11:45+00:00,https://www.mubawab.ma/fr/a/8386906/vente-d-un-bel-appartement-dans-le-triangle-d-or-3-belles-chambres-belle-terrasse,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,appartement,appartement,explicit_appartement,Triangle d'Or,Triangle d'Or,valid,,Casablanca-Settat,unchanged,3.0,3.0,recovery_misplaced_notebook,https://www.mubawab.ma/fr/a/8386906/vente-d-un-bel-appartement-dans-le-triangle-d-or-3-belles-chambres-belle-terrasse,suspicious_high_price_per_m2_tail,unique,,,True,25120.77,25120.77,consistent,not_flagged,,,True
mubawab.ma:native:8371496,mubawab.ma,8371496.0,Casablanca,Maârif Extension,Casablanca-Settat,,,80.0,2.0,1.0,unknown,yes,unknown,unknown,1300000.0,16250.0,appartement,sale,,unknown,2026-09-02T07:37:20+00:00,https://www.mubawab.ma/fr/a/8371496/appartement-%C3%A0-vendre-80-m%C2%B2-2-chambres-ma%C3%A2rif-extension-casablanca,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,appartement,appartement,explicit_appartement,Maârif Extension,Maârif Extension,valid,,Casablanca-Settat,unchanged,2.0,1.0,recovery_misplaced_notebook,https://www.mubawab.ma/fr/a/8371496/appartement-%C3%A0-vendre-80-m%C2%B2-2-chambres-ma%C3%A2rif-extension-casablanca,suspicious_high_price_per_m2_tail,possible_duplicate,possible-79d4bfe62384,C_exact_structured_fingerprint,True,16250.0,16250.0,consistent,not_flagged,,,True
mubawab.ma:content:d6edb54c5c00e0f5bcb4ea57,mubawab.ma,,Tanger,Castilla,Tanger-Tétouan-Al Hoceïma,,,91.0,2.0,2.0,unknown,unknown,unknown,unknown,910000.0,10000.0,appartement,sale,,unknown,2026-08-14T15:31:10+00:00,,valid,,unique,,"Appartement à vendre 91 m², 2 chambres Castilla Tanger",910 000 DH,"Castilla, Tanger",91 m² 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv,appartement,appartement,explicit_appartement,Castilla,Castilla,valid,,Tangier-Tetouan-Al Hoceima,standardized_or_corrected,2.0,2.0,git_head_complete,,not_flagged,unique,,,True,10000.0,10000.0,consistent,not_flagged,,,True
mubawab.ma:content:8c56d624ec98046693a8679a,mubawab.ma,,Fès,Route se Sefrou,Fès-Meknès,,,93.0,2.0,2.0,unknown,unknown,unknown,unknown,450000.0,4838.71,appartement,sale,,unknown,2026-08-14T15:31:10+00:00,,valid,,unique,,Appartement à vendre Narjis,450 000 DH,"Route se Sefrou, Fès",93 m² 2 Pièces 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv,appartement,appartement,explicit_appartement,Route se Sefrou,Route se Sefrou,valid,,Fez-Meknes,standardized_or_corrected,2.0,2.0,git_head_complete,,not_flagged,unique,,,True,4838.71,4838.71,consistent,not_flagged,,,True
mubawab.ma:content:ae2b5eb8d82884fe8349b545,mubawab.ma,,Agadir,Hay Mohammadi,Souss-Massa,,,70.0,2.0,2.0,unknown,unknown,unknown,unknown,700000.0,10000.0,appartement,sale,,unknown,2026-08-14T15:31:10+00:00,,valid,,unique,,Apptement avendre à hay mohammadi,700 000 DH,"Hay Mohammadi, Agadir",70 m² 4 Pièces 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv,appartement,unknown,weak_or_ambiguous_evidence,Hay Mohammadi,Hay Mohammadi,valid,,Souss-Massa,unchanged,2.0,2.0,git_head_complete,,not_flagged,unique,,,True,10000.0,10000.0,consistent,not_flagged,,,True
