,,price_mad,surface_m2
real,count,10829.0,10829.0
real,mean,1926251.9606611875,119.59830085880506
real,std,1643574.9873258893,69.71991608039866
real,min,60000.0,14.0
real,25%,1000000.0,79.0
real,50%,1500000.0,105.0
real,75%,2350000.0,142.0
real,max,34000000.0,1750.0
synthetic,count,10829.0,10829.0
synthetic,mean,1914124.295872195,118.74780681503371
synthetic,std,1342626.3756068654,55.274763074929986
synthetic,min,156000.0,33.0
synthetic,25%,1053000.0,82.0
synthetic,50%,1592000.0,106.0
synthetic,75%,2377000.0,140.0
synthetic,max,24225000.0,840.0
