listing_id,split_group,fold
mubawab.ma:content:f789e69f0f252aa6f2c1b5cb,g0,4
mubawab.ma:content:762f8599e64f92fa8012ccaa,g1,3
mubawab.ma:content:3cbd741c9c7b8c1d8de47946,g3,2
mubawab.ma:content:55b06dbf73a7f7897383833e,g4,3
mubawab.ma:native:8386906,g5,1
mubawab.ma:content:d6edb54c5c00e0f5bcb4ea57,g7,2
mubawab.ma:content:8c56d624ec98046693a8679a,g8,0
mubawab.ma:content:76ddf973137fbdd9980405c1,g11,4
mubawab.ma:content:778e1a1ed51064005421169d,g12,1
mubawab.ma:native:8408282,g16,1
mubawab.ma:content:a8efe71c356430a2b31ce763,g17,0
mubawab.ma:content:8e89bf312a3e7e821863643e,g19,2
mubawab.ma:content:6e1e70736ac8ce731076148f,g22,2
mubawab.ma:content:a7ada42488fcc5c72b21f707,g23,0
mubawab.ma:content:0af647f19280889e854393cf,g24,2
mubawab.ma:content:59ade7ba4b75d4e854647e11,g25,3
mubawab.ma:content:f5d2863de88c387c1c027c91,g26,4
mubawab.ma:content:8117d9c6a0ba62994e37b608,g27,1
mubawab.ma:content:df7b45bc5cac672d7296db0e,g29,2
mubawab.ma:content:18f5c5cf0097c0d8002ec52c,g31,4
mubawab.ma:content:b864b855e93f4023a973d9a4,g32,1
mubawab.ma:native:8408312,g33,4
mubawab.ma:content:1546cecb636a2fa7e6f0b9f4,g34,1
mubawab.ma:native:8383874,g35,3
mubawab.ma:content:9925a992ba2d7b247164446d,g36,0
mubawab.ma:content:74481a43953cce20dd04ac25,g37,3
mubawab.ma:content:c6f74d75b42da0c2f645b60b,g43,0
mubawab.ma:content:7c51d18185a2e6ed36eb497b,g44,0
mubawab.ma:content:e37e72f5e281660996216f29,g46,3
mubawab.ma:content:075fb56bd212fddcaa96ac04,g48,2
mubawab.ma:content:bad94247ef9e9b2f3912b886,g50,0
mubawab.ma:content:28b3a160cc48ce54b028e068,g53,3
mubawab.ma:content:f994082664a80fccbbcc31fd,g54,2
mubawab.ma:url:7062bff14f6e05488c2e7775,g58,3
mubawab.ma:content:1250e094efd7a9feb96afdad,g59,0
mubawab.ma:native:8283620,g60,0
mubawab.ma:content:7f56f7a8fcda0e95879b80e3,g61,2
mubawab.ma:content:a2d3da13956b4120c844b295,g64,0
mubawab.ma:content:d1e3e00caad9ef2a0e1c6362,g65,0
mubawab.ma:content:600ce86957c3cad3086f7198,g66,1
mubawab.ma:native:8351338,g67,4
mubawab.ma:content:2250c4d023f9d84553b3d830,g70,2
mubawab.ma:native:8397986,g72,3
mubawab.ma:content:1240948dc96c03b59ecf6cd0,g74,0
mubawab.ma:native:8319732,g76,0
mubawab.ma:content:cfa016d0bb3d546de1d3e255,g77,3
mubawab.ma:content:0f8eb13f5c8004510386bf85,g78,0
mubawab.ma:content:348d961f9bf0fd335d4f2045,g79,4
mubawab.ma:content:98b9fb04c406979583ecc14b,g81,2
mubawab.ma:content:d25ffd8bfa7090f1f36b51ed,g82,3
mubawab.ma:content:8f52e70776e9dc688053dd96,g84,4
mubawab.ma:content:809235c6e3a161cf19a40e38,g87,2
mubawab.ma:content:c5da0becb0406f0415353b49,g88,2
mubawab.ma:content:51328ea51fd3cfbabb0cf158,g89,0
mubawab.ma:content:3531a805be3e85f633b01a35,g91,0
mubawab.ma:content:c01f8910e22fed75b221daea,g92,1
mubawab.ma:content:d93923489ca75863eaf67045,g93,3
mubawab.ma:content:682a061cd3b199ab213c2180,g94,3
mubawab.ma:content:01d16a4ac69dcb4eafb5aa63,g95,0
mubawab.ma:content:a211d2d0a81510dad309ab8a,g96,2
mubawab.ma:content:510ad2a10b974fbfedb9dbbe,g97,2
mubawab.ma:content:98ccf8e320efdf9dcf092075,g98,0
mubawab.ma:content:7c2b456db19d0ac9b96f1d3e,g100,2
mubawab.ma:content:d34bd2578b65bf1803babdbd,g101,4
